"","subject","block","trial","card_left","card_right","ch_card","ch_key","reward","prob1","prob2","prob3","prob4","rt","reward_oneback","unch_card","reoffer_ch","reoffer_unch","stay_key","stay_card","stay_unch_card","prob_ch","prob_unch","accuracy","delta_exp_value","prob_left","prob_right","better_loc","prev_loc_better","bonus","number_inattention","instructions_mistakes","exclude_trial_omission","exclude_key_rep","exclude_inattention"
"59",1,"2","9",1,2,1,"0","0",0.15,0.654805088,0.426905337,0.363860908,1097,"1",2,FALSE,TRUE,FALSE,FALSE,TRUE,0.15,0.654805088,0,0.504805088,0.15,0.654805088,1,1,0,0,0,FALSE,FALSE,FALSE
"60",1,"2","10",1,4,4,"1","1",0.195488406,0.654415047,0.43950215,0.384457003,539,"0",1,TRUE,FALSE,FALSE,FALSE,FALSE,0.384457003,0.195488406,1,0.188968597,0.195488406,0.384457003,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"61",1,"2","11",1,3,3,"1","1",0.238761738,0.651459173,0.424029653,0.381435283,679,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.424029653,0.238761738,1,0.185267915,0.238761738,0.424029653,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"62",1,"2","12",1,2,2,"1","0",0.208685625,0.622871469,0.373946687,0.395809752,857,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.622871469,0.208685625,1,0.414185844,0.208685625,0.622871469,1,1,0,0,0,FALSE,FALSE,FALSE
"63",1,"2","13",3,4,4,"1","0",0.176161325,0.621873043,0.309792793,0.418116153,833,"0",3,FALSE,FALSE,TRUE,FALSE,FALSE,0.418116153,0.309792793,1,0.10832336,0.309792793,0.418116153,1,1,0,0,0,FALSE,FALSE,FALSE
"64",1,"2","14",1,3,3,"1","0",0.189415947,0.64873017,0.299386806,0.444540894,596,"0",1,FALSE,TRUE,TRUE,FALSE,TRUE,0.299386806,0.189415947,1,0.109970859,0.189415947,0.299386806,1,1,0,0,0,FALSE,FALSE,FALSE
"65",1,"2","15",4,3,4,"0","0",0.179116023,0.614258789,0.330861332,0.461018357,812,"0",3,TRUE,FALSE,FALSE,FALSE,FALSE,0.461018357,0.330861332,1,0.130157025,0.461018357,0.330861332,0,0,0,0,0,FALSE,FALSE,FALSE
"66",1,"2","16",1,2,1,"0","0",0.1990778,0.624416768,0.390680702,0.499538162,516,"0",2,FALSE,FALSE,TRUE,FALSE,FALSE,0.1990778,0.624416768,0,0.425338968,0.1990778,0.624416768,1,0,0,0,0,FALSE,FALSE,FALSE
"67",1,"2","17",4,3,4,"0","1",0.15,0.584623601,0.368970152,0.501779212,444,"0",3,FALSE,FALSE,TRUE,FALSE,FALSE,0.501779212,0.368970152,1,0.13280906,0.501779212,0.368970152,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"68",1,"2","18",2,4,4,"1","0",0.154505329,0.549768795,0.364360177,0.444644815,442,"1",2,TRUE,FALSE,FALSE,TRUE,FALSE,0.444644815,0.549768795,0,0.10512398,0.549768795,0.444644815,0,1,0,0,0,FALSE,FALSE,FALSE
"69",1,"2","19",3,2,2,"1","0",0.20971304,0.501743755,0.30563429,0.41071651,629,"0",3,FALSE,TRUE,TRUE,FALSE,TRUE,0.501743755,0.30563429,1,0.196109465,0.30563429,0.501743755,1,1,0,0,0,FALSE,FALSE,FALSE
"70",1,"2","20",2,4,4,"1","0",0.248624145,0.463638119,0.304244594,0.412544239,1014,"0",2,TRUE,FALSE,TRUE,FALSE,FALSE,0.412544239,0.463638119,0,0.05109388,0.463638119,0.412544239,0,0,0,0,0,FALSE,FALSE,FALSE
"71",1,"2","21",4,1,4,"0","1",0.243429274,0.572912292,0.231771321,0.404462135,991,"0",1,TRUE,FALSE,FALSE,TRUE,FALSE,0.404462135,0.243429274,1,0.161032861,0.404462135,0.243429274,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"72",1,"2","22",3,1,3,"0","0",0.222942467,0.521565163,0.189074154,0.394042659,946,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.189074154,0.222942467,0,0.033868313,0.189074154,0.222942467,1,0,0,0,0,FALSE,FALSE,FALSE
"73",1,"2","23",2,1,1,"1","0",0.25854102,0.483212291,0.232423255,0.427578923,414,"0",2,FALSE,TRUE,FALSE,FALSE,TRUE,0.25854102,0.483212291,0,0.224671271,0.483212291,0.25854102,0,1,0,0,0,FALSE,FALSE,FALSE
"74",1,"2","24",2,1,2,"0","0",0.32771788,0.416664343,0.167898662,0.414173854,620,"0",1,TRUE,TRUE,FALSE,FALSE,TRUE,0.416664343,0.32771788,1,0.088946463,0.416664343,0.32771788,0,0,0,0,0,FALSE,FALSE,FALSE
"75",1,"2","25",3,4,4,"1","1",0.346910101,0.406414638,0.223806442,0.432006777,449,"0",3,FALSE,FALSE,FALSE,FALSE,FALSE,0.432006777,0.223806442,1,0.208200335,0.223806442,0.432006777,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"76",1,"2","26",4,3,4,"0","0",0.363247772,0.424988911,0.15,0.409534504,605,"1",3,TRUE,TRUE,FALSE,TRUE,FALSE,0.409534504,0.15,1,0.259534504,0.409534504,0.15,0,0,0,0,0,FALSE,FALSE,FALSE
"77",1,"2","27",1,2,2,"1","0",0.412600622,0.423891952,0.160403157,0.383596933,1447,"0",1,FALSE,FALSE,FALSE,FALSE,FALSE,0.423891952,0.412600622,1,0.01129133,0.412600622,0.423891952,1,0,0,0,0,FALSE,FALSE,FALSE
"78",1,"2","28",1,2,2,"1","1",0.394723848,0.477917326,0.15,0.366896641,639,"0",1,TRUE,TRUE,TRUE,TRUE,FALSE,0.477917326,0.394723848,1,0.083193478,0.394723848,0.477917326,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"79",1,"2","29",3,1,3,"0","0",0.379588708,0.499917072,0.15,0.455084108,664,"1",1,FALSE,TRUE,FALSE,FALSE,FALSE,0.15,0.379588708,0,0.229588708,0.15,0.379588708,1,1,0,0,0,FALSE,FALSE,FALSE
"80",1,"2","30",1,4,4,"1","0",0.39092306,0.527574737,0.199845574,0.475709276,443,"0",1,FALSE,TRUE,FALSE,FALSE,FALSE,0.475709276,0.39092306,1,0.084786216,0.39092306,0.475709276,1,0,0,0,0,FALSE,FALSE,FALSE
"81",1,"2","31",1,4,4,"1","0",0.37934023,0.55610902,0.252707012,0.523782927,439,"0",1,TRUE,TRUE,TRUE,TRUE,FALSE,0.523782927,0.37934023,1,0.144442697,0.37934023,0.523782927,1,1,0,0,0,FALSE,FALSE,FALSE
"82",1,"2","32",4,1,1,"1","0",0.422537053,0.542712218,0.240813444,0.467327472,748,"0",4,TRUE,TRUE,TRUE,FALSE,TRUE,0.422537053,0.467327472,0,0.044790419,0.467327472,0.422537053,0,0,0,0,0,FALSE,FALSE,FALSE
"83",1,"2","33",1,3,3,"1","0",0.42854826,0.558499434,0.31536487,0.456414917,577,"0",1,TRUE,FALSE,TRUE,FALSE,FALSE,0.31536487,0.42854826,0,0.11318339,0.42854826,0.31536487,0,0,0,0,0,FALSE,FALSE,FALSE
"84",1,"2","34",1,4,4,"1","1",0.414645187,0.630558855,0.238292789,0.399816399,656,"0",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.399816399,0.414645187,0,0.014828788,0.414645187,0.399816399,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"85",1,"2","35",2,3,2,"0","1",0.411459023,0.630067304,0.158989637,0.404586093,1066,"1",3,FALSE,FALSE,FALSE,FALSE,FALSE,0.630067304,0.158989637,1,0.471077667,0.630067304,0.158989637,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"86",1,"2","36",2,3,2,"0","1",0.357681821,0.633714377,0.160086403,0.419517324,393,"1",3,TRUE,TRUE,TRUE,TRUE,FALSE,0.633714377,0.160086403,1,0.473627974,0.633714377,0.160086403,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"87",1,"2","37",2,4,2,"0","1",0.319182052,0.66237771,0.157452045,0.426407739,438,"1",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.66237771,0.426407739,1,0.235969971,0.66237771,0.426407739,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"88",1,"2","38",2,4,2,"0","0",0.271389827,0.642321058,0.176706854,0.408329963,573,"1",4,TRUE,TRUE,TRUE,TRUE,FALSE,0.642321058,0.408329963,1,0.233991095,0.642321058,0.408329963,0,1,0,0,0,FALSE,FALSE,FALSE
"89",1,"2","39",3,4,4,"1","0",0.331717046,0.598826994,0.163972711,0.442421569,538,"0",3,FALSE,TRUE,FALSE,FALSE,TRUE,0.442421569,0.163972711,1,0.278448858,0.163972711,0.442421569,1,0,0,0,0,FALSE,FALSE,FALSE
"90",1,"2","40",2,4,2,"0","0",0.337330719,0.537534203,0.156086284,0.439231949,1448,"0",4,TRUE,FALSE,FALSE,FALSE,FALSE,0.537534203,0.439231949,1,0.098302254,0.537534203,0.439231949,0,0,0,0,0,FALSE,FALSE,FALSE
"91",1,"2","41",3,4,4,"1","0",0.360532922,0.541353187,0.15,0.422045599,1024,"0",3,FALSE,TRUE,FALSE,FALSE,TRUE,0.422045599,0.15,1,0.272045599,0.15,0.422045599,1,0,0,0,0,FALSE,FALSE,FALSE
"92",1,"2","42",3,4,3,"0","0",0.40079545,0.565797459,0.15,0.398831425,668,"0",4,TRUE,TRUE,FALSE,FALSE,TRUE,0.15,0.398831425,0,0.248831425,0.15,0.398831425,1,1,0,0,0,FALSE,FALSE,FALSE
"93",1,"2","43",3,4,3,"0","0",0.4120548,0.625624932,0.15,0.445303813,723,"0",4,TRUE,TRUE,TRUE,TRUE,FALSE,0.15,0.445303813,0,0.295303813,0.15,0.445303813,1,0,0,0,0,FALSE,FALSE,FALSE
"94",1,"2","44",2,3,2,"0","1",0.419174746,0.673666597,0.15,0.442015842,1088,"0",3,TRUE,FALSE,TRUE,FALSE,FALSE,0.673666597,0.15,1,0.523666597,0.673666597,0.15,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"95",1,"2","45",3,2,2,"1","1",0.49439884,0.709709244,0.15,0.391095483,719,"1",3,TRUE,TRUE,FALSE,TRUE,FALSE,0.709709244,0.15,1,0.559709244,0.15,0.709709244,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"96",1,"2","46",1,4,1,"0","0",0.445138221,0.732720996,0.15,0.39784058,1352,"1",4,FALSE,FALSE,FALSE,FALSE,FALSE,0.445138221,0.39784058,1,0.047297641,0.445138221,0.39784058,0,0,0,0,0,FALSE,FALSE,FALSE
"97",1,"2","47",3,2,2,"1","0",0.462633019,0.63950116,0.163664995,0.324718947,1180,"0",3,FALSE,FALSE,FALSE,FALSE,FALSE,0.63950116,0.163664995,1,0.475836165,0.163664995,0.63950116,1,0,0,0,0,FALSE,FALSE,FALSE
